,index,Date,TA.OVH.RECYCLE.NC4.VOLPCT,Hour
0,0.0,2022-07-15 13:00:00,11.19999981,13.0
1,1.0,2022-07-15 06:00:00,13.89999962,6.0
2,2.0,2022-07-14 13:00:00,13.60000038,13.0
3,3.0,2022-07-14 06:00:00,11.0,6.0
4,4.0,2022-07-13 13:00:00,10.69999981,13.0
5,5.0,2022-07-13 06:00:00,11.0,6.0
6,6.0,2022-07-12 13:00:00,14.69999981,13.0
7,7.0,2022-07-12 06:00:00,10.80000019,6.0
8,8.0,2022-07-11 13:00:00,14.30000019,13.0
9,9.0,2022-07-11 06:00:00,10.89999962,6.0
10,10.0,2022-07-10 13:00:00,8.100000381,13.0
11,11.0,2022-07-10 06:00:00,11.5,6.0
12,12.0,2022-07-09 13:00:00,15.60000038,13.0
13,13.0,2022-07-09 06:00:00,10.60000038,6.0
14,14.0,2022-07-08 13:00:00,10.60000038,13.0
15,15.0,2022-07-08 06:00:00,14.19999981,6.0
16,16.0,2022-07-07 13:00:00,8.199999809,13.0
17,17.0,2022-07-07 06:00:00,16.89999962,6.0
18,18.0,2022-07-06 13:00:00,12.30000019,13.0
19,19.0,2022-07-06 06:00:00,11.80000019,6.0
20,20.0,2022-07-05 13:00:00,16.0,13.0
21,21.0,2022-07-05 06:00:00,14.0,6.0
22,22.0,2022-07-04 13:00:00,16.10000038,13.0
23,23.0,2022-07-04 06:00:00,12.69999981,6.0
24,24.0,2022-07-03 13:00:00,9.100000381,13.0
25,25.0,2022-07-03 06:00:00,10.5,6.0
26,26.0,2022-07-02 13:00:00,10.30000019,13.0
27,27.0,2022-07-02 06:00:00,10.89999962,6.0
28,28.0,2022-07-01 13:00:00,7.599999905,13.0
29,29.0,2022-07-01 06:00:00,10.5,6.0
30,30.0,2022-06-30 13:00:00,12.10000038,13.0
31,31.0,2022-06-30 06:00:00,9.399999619,6.0
32,32.0,2022-06-29 13:00:00,13.39999962,13.0
33,33.0,2022-06-29 06:00:00,11.80000019,6.0
34,34.0,2022-06-28 13:00:00,11.60000038,13.0
35,35.0,2022-06-28 06:00:00,10.39999962,6.0
36,36.0,2022-06-27 13:00:00,11.39999962,13.0
37,37.0,2022-06-27 06:00:00,9.699999809,6.0
38,38.0,2022-06-26 13:00:00,8.899999619,13.0
39,39.0,2022-06-19 13:00:00,8.100000381,13.0
40,40.0,2022-06-19 06:00:00,10.10000038,6.0
41,41.0,2022-06-18 13:00:00,11.60000038,13.0
42,42.0,2022-06-18 06:00:00,10.10000038,6.0
43,43.0,2022-06-17 13:00:00,11.69999981,13.0
44,44.0,2022-06-17 06:00:00,13.30000019,6.0
45,45.0,2022-06-16 13:00:00,12.39999962,13.0
46,46.0,2022-06-16 06:00:00,10.39999962,6.0
47,47.0,2022-06-15 13:00:00,12.69999981,13.0
48,48.0,2022-06-15 06:00:00,10.19999981,6.0
49,49.0,2022-06-14 13:00:00,9.800000191,13.0
50,50.0,2022-06-14 06:00:00,9.800000191,6.0
51,51.0,2022-06-13 13:00:00,9.600000381,13.0
52,52.0,2022-06-13 06:00:00,9.399999619,6.0
53,53.0,2022-06-12 13:00:00,9.100000381,13.0
54,54.0,2022-06-12 06:00:00,9.199999809,6.0
55,55.0,2022-06-11 13:00:00,10.0,13.0
56,56.0,2022-06-11 06:00:00,8.899999619,6.0
57,57.0,2022-06-10 13:00:00,12.10000038,13.0
58,58.0,2022-06-10 06:00:00,11.19999981,6.0
59,59.0,2022-06-09 13:00:00,12.0,13.0
60,60.0,2022-06-09 06:00:00,12.0,6.0
61,61.0,2022-06-08 13:00:00,14.30000019,13.0
62,62.0,2022-06-08 06:00:00,12.5,6.0
63,63.0,2022-06-07 13:00:00,12.0,13.0
64,64.0,2022-06-07 06:00:00,10.5,6.0
65,65.0,2022-06-06 13:00:00,9.699999809,13.0
66,66.0,2022-06-06 06:00:00,8.699999809,6.0
