Index,Date,TA.Charge.BPD,TA.OH.PSIG,TA.Tray4.F,TA.OH.F,TA.RECV.PCT,TA.RECV.PSIG,TA.RECYCLE.TO.CONTACT.BPD,TA.RECYCLE.TO.CONTACT.F,TA.TRAY39.F,TA.TRAY45.F,TA.DP.PSIG,TA.BTM.PSIG,TA.BTM.LEVEL.PCT,TA.BTM.REBOIL.OUT.F,TA.TOP.REBOIL.OUT.F
0,7/15/22 13:00,10731.7002,99.30152893,134.6903534,133.1420898,1.432772994,100.6223145,6399.555664,97.03623199,160.8286591,177.0243378,0.66986084,98.63166809,74.77849579,315.3513489,188.9165344
1,7/15/22 6:00,10332.8252,99.47181702,134.7993469,133.2794189,3.479724407,99.48440552,6395.504883,93.11539459,159.8332214,175.662384,0.578268826,98.89743805,72.92869568,312.3144531,188.0589294
2,7/14/22 13:00,9904.880859,98.97205353,134.3727112,132.7810669,2.860878468,99.41940308,5933.965332,97.99095917,161.156311,178.83255,0.781860352,98.19156647,73.68263245,318.3023071,191.8672333
3,7/14/22 6:00,9641.806641,99.94731903,134.9676514,133.2887726,4.899298191,99.85849762,5902.112793,92.6629715,159.7163849,176.0884705,0.605773926,99.33746338,74.87386322,312.1195374,187.9542999
4,7/13/22 13:00,9876.027344,99.60662842,135.2410889,133.3068848,1.202635884,100.4339676,5749.19873,98.54929352,163.9949493,182.7541046,0.64453125,98.95614624,76.2322998,318.6087952,195.6160431
5,7/13/22 6:00,9299.680664,99.72805023,135.0397186,133.2513885,9.337706566,99.57028961,5783.811523,92.10439301,163.2648773,181.6267395,0.668742716,99.05525208,74.2375946,315.9831848,194.0543823
7,7/12/22 6:00,10984.1123,100.2275848,135.6558228,133.5470581,3.817511082,100.1730423,6539.573242,97.02545166,162.9049683,179.1189575,0.457756817,99.75746155,75.34454346,310.4388428,192.0675659
9,7/11/22 6:00,10511.16699,100.4619598,135.4804993,133.3788605,8.766039848,100.3524857,6453.387695,93.30800629,161.0122681,176.0020142,0.486946106,99.96757507,75.51129913,308.5479736,188.8173523
11,7/10/22 6:00,10619.78613,102.9772568,137.3912048,135.5601501,3.143442631,102.067421,6450.285156,100.3619461,166.9961548,183.2739258,0.459136963,102.5098877,73.5848999,311.8927002,197.9345703
13,7/9/22 6:00,10524.9502,96.31347656,133.1291656,131.0381012,5.21903801,98.04758453,6529.932129,101.8012466,160.4903107,176.6625977,0.627822876,95.68588257,73.09194183,313.4726868,188.7005615
14,7/8/22 13:00,11577.71387,100.3829193,135.5659027,133.6916046,3.435381651,99.90000153,6500.510742,105.3774109,164.3655396,180.2420044,0.54649353,99.82758331,77.45565033,316.8998108,190.7385406
15,7/8/22 6:00,9618.789063,99.90005493,135.043335,133.2580566,9.20441246,100.0366211,6474.868652,95.78094482,163.5803223,179.7698975,0.542449951,99.35760498,74.37286377,317.956543,191.7358398
16,7/7/22 13:00,10451.72168,99.39881134,134.8205566,133.1756592,0.376023203,100.567627,6513.475586,103.964241,163.369751,179.397583,0.512695313,98.90442657,80.96618652,316.2658691,192.1844482
17,7/7/22 6:00,10569.94727,100.4115677,135.4828339,133.6120605,8.041970253,100.5008469,6508.936035,98.64126587,161.6695709,175.8403015,0.429992676,99.99290466,78.06510925,310.9950867,188.0334015
18,7/6/22 13:00,10466.00488,99.55101013,135.0110321,133.203476,7.520253181,99.83406067,6525.554199,107.0682297,162.5358582,179.5691986,0.650062561,98.95050049,75.01703644,313.1567383,192.0889435
19,7/6/22 6:00,10736.41211,100.1584625,135.5072021,133.6784821,5.345444202,100.0009155,6501.810059,101.6275024,161.541748,176.4369659,0.498847961,99.6446228,75.00173187,307.400116,189.101059
20,7/5/22 13:00,10684.21191,99.55078888,135.0770111,133.173111,2.502201319,100.5944824,6486.11377,108.5302734,165.002243,178.5797119,0.507278442,99.04258728,78.58052826,318.5538635,189.359436
